home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Edmonton Oilers,6,23,100.0,2.0,2.0,46.2,19,4,9,28,4,Detroit Red Wings,4
Calgary Flames,4,24,50.0,2.0,4.0,55.9,23,11,6,16,2,Detroit Red Wings,5
Seattle Kraken,16,23,0.0,0.0,3.0,45.9,15,5,0,10,4,Detroit Red Wings,2
Washington Capitals,19,25,0.0,0.0,2.0,48.9,28,7,10,23,1,Detroit Red Wings,3
Detroit Red Wings,15,31,0.0,0.0,2.0,47.4,9,5,14,12,4,New York Rangers,1
Detroit Red Wings,8,18,0.0,0.0,2.0,51.9,29,3,5,9,0,Tampa Bay Lightning,3
Ottawa Senators,12,24,25.0,1.0,4.0,46.4,16,7,1,31,6,Detroit Red Wings,2
Ottawa Senators,33,17,0.0,0.0,8.0,50.8,13,5,12,34,6,Detroit Red Wings,1
Detroit Red Wings,11,37,20.0,1.0,5.0,39.7,7,4,10,20,4,Seattle Kraken,5
New York Islanders,4,23,33.3,1.0,3.0,31.7,11,1,10,18,4,Detroit Red Wings,1
Philadelphia Flyers,8,26,0.0,0.0,2.0,61.1,20,6,8,22,3,Detroit Red Wings,1
Detroit Red Wings,6,20,33.3,1.0,3.0,42.2,11,1,4,18,4,Chicago Blackhawks,3
Boston Bruins,8,31,50.0,1.0,2.0,40.0,24,11,9,27,3,Detroit Red Wings,2
Detroit Red Wings,12,33,0.0,0.0,3.0,51.9,7,6,8,14,5,Boston Bruins,3
Nashville Predators,10,29,25.0,1.0,4.0,41.8,12,10,13,20,2,Detroit Red Wings,1
Detroit Red Wings,8,23,33.3,1.0,3.0,37.0,14,1,4,10,1,Colorado Avalanche,5
Detroit Red Wings,4,25,50.0,1.0,2.0,54.8,8,2,3,19,2,Florida Panthers,5
St. Louis Blues,6,30,33.3,1.0,3.0,54.0,13,16,10,13,2,Detroit Red Wings,2
Detroit Red Wings,7,22,0.0,0.0,4.0,47.4,18,6,9,20,3,St. Louis Blues,4
Philadelphia Flyers,6,29,0.0,0.0,7.0,51.8,8,10,4,27,3,Detroit Red Wings,0
Detroit Red Wings,6,39,33.3,2.0,6.0,52.9,17,3,6,6,7,Pittsburgh Penguins,4
Detroit Red Wings,6,33,0.0,0.0,3.0,49.2,6,3,4,7,3,Carolina Hurricanes,2
Winnipeg Jets,6,25,100.0,1.0,1.0,49.0,22,8,9,14,6,Detroit Red Wings,2
Toronto Maple Leafs,8,24,0.0,0.0,1.0,35.6,17,7,6,23,2,Detroit Red Wings,5
Montréal Canadiens,8,21,33.3,1.0,3.0,59.0,6,7,6,12,0,Detroit Red Wings,5
Detroit Red Wings,8,36,33.3,1.0,3.0,41.9,12,6,8,9,6,Buffalo Sabres,6
Detroit Red Wings,6,28,25.0,1.0,4.0,35.4,17,4,2,8,1,Pittsburgh Penguins,5
Detroit Red Wings,6,22,33.3,1.0,3.0,67.4,11,5,4,10,1,Dallas Stars,6
Carolina Hurricanes,2,21,0.0,0.0,2.0,54.7,10,6,5,15,4,Detroit Red Wings,1
Tampa Bay Lightning,6,32,0.0,0.0,2.0,35.8,17,13,4,36,5,Detroit Red Wings,0
