home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Carolina Hurricanes,8,16,0.0,0.0,3.0,50.8,20,7,12,5,2,Anaheim Ducks,3
Vegas Golden Knights,2,26,0.0,0.0,0.0,43.9,16,10,6,24,3,Carolina Hurricanes,2
Arizona Coyotes,6,42,75.0,3.0,4.0,56.4,10,4,4,20,1,Carolina Hurricanes,6
Carolina Hurricanes,22,14,0.0,0.0,2.0,45.9,12,8,15,18,6,Tampa Bay Lightning,0
Montréal Canadiens,10,39,0.0,0.0,2.0,56.7,9,8,11,11,3,Carolina Hurricanes,3
Carolina Hurricanes,10,19,0.0,0.0,1.0,37.0,22,6,8,21,1,Philadelphia Flyers,0
Carolina Hurricanes,2,24,0.0,0.0,1.0,51.6,19,8,6,24,0,Vegas Golden Knights,4
New Jersey Devils,6,32,0.0,0.0,3.0,62.7,14,3,10,12,3,Carolina Hurricanes,0
Carolina Hurricanes,9,24,0.0,0.0,1.0,46.8,13,5,7,21,5,Winnipeg Jets,3
Toronto Maple Leafs,2,34,0.0,0.0,3.0,44.2,9,6,7,20,5,Carolina Hurricanes,2
Philadelphia Flyers,8,34,100.0,1.0,1.0,53.7,5,4,6,18,4,Carolina Hurricanes,5
New York Rangers,6,39,0.0,0.0,1.0,49.2,8,6,7,9,2,Carolina Hurricanes,3
Carolina Hurricanes,6,16,0.0,0.0,3.0,40.7,18,6,7,18,1,New York Rangers,2
Carolina Hurricanes,4,44,0.0,0.0,3.0,40.7,10,8,11,16,5,Toronto Maple Leafs,3
Carolina Hurricanes,6,38,50.0,1.0,2.0,47.0,17,7,5,20,3,Boston Bruins,3
Carolina Hurricanes,6,21,0.0,0.0,1.0,48.2,7,6,7,28,0,Tampa Bay Lightning,4
Detroit Red Wings,6,33,0.0,0.0,3.0,49.2,6,3,4,7,3,Carolina Hurricanes,2
Montréal Canadiens,6,50,50.0,1.0,2.0,60.8,6,6,13,9,0,Carolina Hurricanes,3
Carolina Hurricanes,4,22,0.0,0.0,2.0,45.9,17,2,6,18,2,New York Islanders,1
Carolina Hurricanes,10,28,25.0,1.0,4.0,40.7,16,4,5,21,3,Ottawa Senators,2
Nashville Predators,2,33,0.0,0.0,2.0,38.9,3,11,4,14,3,Carolina Hurricanes,0
Buffalo Sabres,8,34,0.0,0.0,2.0,57.1,5,6,8,20,4,Carolina Hurricanes,3
Ottawa Senators,14,29,20.0,1.0,5.0,46.0,8,3,11,15,3,Carolina Hurricanes,2
Carolina Hurricanes,2,21,0.0,0.0,2.0,54.7,10,6,5,15,4,Detroit Red Wings,1
Florida Panthers,6,36,0.0,0.0,4.0,39.3,16,6,6,14,4,Carolina Hurricanes,6
Carolina Hurricanes,8,26,0.0,0.0,4.0,48.6,17,12,9,44,2,New York Islanders,1
Carolina Hurricanes,12,26,0.0,0.0,0.0,53.6,17,7,5,54,4,New York Islanders,3
New York Islanders,40,31,0.0,0.0,4.0,50.8,14,5,11,28,5,Carolina Hurricanes,1
New York Islanders,10,29,40.0,2.0,5.0,46.7,21,7,9,42,2,Carolina Hurricanes,5
Carolina Hurricanes,8,22,0.0,0.0,3.0,47.1,22,13,5,33,2,New York Islanders,3
New York Islanders,6,41,0.0,0.0,2.0,43.3,25,13,13,31,1,Carolina Hurricanes,2
Carolina Hurricanes,6,18,0.0,0.0,2.0,51.8,16,7,12,34,5,New Jersey Devils,1
Carolina Hurricanes,6,29,0.0,0.0,3.0,49.2,22,9,14,31,6,New Jersey Devils,1
New Jersey Devils,15,30,0.0,0.0,2.0,43.6,18,5,2,46,8,Carolina Hurricanes,4
New Jersey Devils,4,29,0.0,0.0,3.0,41.1,9,13,2,30,1,Carolina Hurricanes,6
Carolina Hurricanes,4,29,100.0,1.0,1.0,60.0,19,6,11,32,3,New Jersey Devils,2
Carolina Hurricanes,12,60,0.0,0.0,3.0,45.5,38,11,12,46,2,Florida Panthers,3
Carolina Hurricanes,8,26,33.3,1.0,3.0,43.8,14,2,11,30,1,Florida Panthers,2
Florida Panthers,10,32,0.0,0.0,1.0,58.2,14,5,6,23,1,Carolina Hurricanes,0
Florida Panthers,10,39,0.0,0.0,4.0,49.3,12,3,9,33,4,Carolina Hurricanes,3
