home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Colorado Avalanche,9,35,0.0,0.0,4.0,53.7,11,7,8,31,3,Tampa Bay Lightning,3
Arizona Coyotes,4,47,0.0,0.0,5.0,47.9,14,4,9,20,0,Tampa Bay Lightning,0
Vegas Golden Knights,6,24,33.3,1.0,3.0,54.5,15,7,8,25,5,Tampa Bay Lightning,4
Tampa Bay Lightning,30,25,0.0,0.0,4.0,38.2,13,6,3,31,6,Anaheim Ducks,1
Tampa Bay Lightning,6,23,50.0,1.0,2.0,54.7,9,5,3,42,5,Buffalo Sabres,6
Detroit Red Wings,8,18,0.0,0.0,2.0,51.9,29,3,5,9,0,Tampa Bay Lightning,3
Pittsburgh Penguins,4,29,33.3,1.0,3.0,45.5,15,6,14,28,7,Tampa Bay Lightning,3
Tampa Bay Lightning,10,41,0.0,0.0,2.0,46.2,22,6,6,27,1,Florida Panthers,4
Tampa Bay Lightning,10,32,0.0,0.0,5.0,50.0,9,8,9,28,4,Pittsburgh Penguins,5
Buffalo Sabres,17,36,20.0,1.0,5.0,62.7,12,6,13,28,5,Tampa Bay Lightning,3
Carolina Hurricanes,22,14,0.0,0.0,2.0,45.9,12,8,15,18,6,Tampa Bay Lightning,0
Tampa Bay Lightning,23,35,0.0,0.0,3.0,37.5,23,10,6,27,5,Philadelphia Flyers,2
Tampa Bay Lightning,75,21,50.0,1.0,2.0,52.2,18,10,3,33,3,Vegas Golden Knights,4
Tampa Bay Lightning,7,23,0.0,0.0,2.0,42.9,14,11,5,36,3,Chicago Blackhawks,1
Tampa Bay Lightning,6,22,50.0,1.0,2.0,54.9,12,6,4,42,2,Winnipeg Jets,3
New Jersey Devils,4,30,0.0,0.0,2.0,40.4,19,8,10,12,1,Tampa Bay Lightning,4
New Jersey Devils,8,24,33.3,1.0,3.0,40.4,19,7,11,16,3,Tampa Bay Lightning,3
Tampa Bay Lightning,4,21,50.0,1.0,2.0,38.3,20,12,11,37,5,Montréal Canadiens,3
Tampa Bay Lightning,8,39,0.0,0.0,1.0,62.3,16,14,8,13,2,New Jersey Devils,5
Montréal Canadiens,6,33,50.0,1.0,2.0,57.4,8,9,8,16,3,Tampa Bay Lightning,2
Ottawa Senators,18,29,25.0,1.0,4.0,52.8,9,8,10,27,7,Tampa Bay Lightning,2
Boston Bruins,21,27,0.0,0.0,5.0,34.0,18,6,6,35,2,Tampa Bay Lightning,1
Carolina Hurricanes,6,21,0.0,0.0,1.0,48.2,7,6,7,28,0,Tampa Bay Lightning,4
Tampa Bay Lightning,4,31,0.0,0.0,4.0,46.3,16,9,4,36,5,Washington Capitals,1
Tampa Bay Lightning,16,38,0.0,0.0,3.0,38.6,10,16,3,36,5,New York Islanders,0
New York Rangers,42,31,33.3,1.0,3.0,55.3,11,7,14,21,6,Tampa Bay Lightning,3
New York Islanders,6,31,0.0,0.0,1.0,39.1,26,5,11,16,6,Tampa Bay Lightning,1
Ottawa Senators,18,24,60.0,3.0,5.0,41.4,11,4,10,25,7,Tampa Bay Lightning,4
Tampa Bay Lightning,28,24,33.3,2.0,6.0,46.8,17,13,3,23,3,Toronto Maple Leafs,4
Tampa Bay Lightning,6,32,0.0,0.0,2.0,35.8,17,13,4,36,5,Detroit Red Wings,0
Toronto Maple Leafs,8,34,50.0,4.0,8.0,44.4,20,7,9,39,3,Tampa Bay Lightning,7
Toronto Maple Leafs,49,22,0.0,0.0,3.0,50.0,16,7,3,53,7,Tampa Bay Lightning,2
Tampa Bay Lightning,18,27,0.0,0.0,3.0,51.6,26,13,7,62,3,Toronto Maple Leafs,4
Tampa Bay Lightning,8,37,50.0,2.0,4.0,50.0,28,7,3,46,4,Toronto Maple Leafs,5
Toronto Maple Leafs,4,38,0.0,0.0,2.0,42.4,13,7,8,37,2,Tampa Bay Lightning,4
Tampa Bay Lightning,4,22,0.0,0.0,2.0,42.1,29,23,11,42,1,Toronto Maple Leafs,2
