home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Nashville Predators,10,19,100.0,1.0,1.0,30.6,12,6,8,29,2,Arizona Coyotes,4
Arizona Coyotes,4,47,0.0,0.0,5.0,47.9,14,4,9,20,0,Tampa Bay Lightning,0
Los Angeles Kings,10,32,33.3,1.0,3.0,48.1,22,3,10,31,5,Arizona Coyotes,5
Arizona Coyotes,12,36,33.3,1.0,3.0,53.4,19,9,3,36,3,Columbus Blue Jackets,2
Arizona Coyotes,4,51,60.0,3.0,5.0,52.5,11,5,5,25,3,Calgary Flames,6
Arizona Coyotes,10,34,66.7,2.0,3.0,51.8,16,7,6,21,2,Nashville Predators,6
Arizona Coyotes,7,24,0.0,0.0,2.0,56.2,13,3,5,21,4,Chicago Blackhawks,1
Dallas Stars,8,20,20.0,1.0,5.0,35.8,13,7,11,20,4,Arizona Coyotes,2
Arizona Coyotes,6,42,75.0,3.0,4.0,56.4,10,4,4,20,1,Carolina Hurricanes,6
Arizona Coyotes,4,40,100.0,1.0,1.0,47.1,15,10,11,22,4,New Jersey Devils,5
Arizona Coyotes,4,42,0.0,0.0,6.0,47.8,11,2,7,24,6,St. Louis Blues,2
Arizona Coyotes,13,40,0.0,0.0,6.0,63.9,12,1,7,25,4,Nashville Predators,1
Colorado Avalanche,6,20,0.0,0.0,1.0,50.8,21,1,4,17,3,Arizona Coyotes,2
Arizona Coyotes,24,34,0.0,0.0,4.0,45.6,10,4,8,33,5,Minnesota Wild,4
Arizona Coyotes,2,45,0.0,0.0,2.0,57.1,10,3,8,39,4,Calgary Flames,3
Arizona Coyotes,6,31,0.0,0.0,5.0,40.4,15,4,4,19,3,Vancouver Canucks,2
Arizona Coyotes,6,34,20.0,1.0,5.0,62.2,8,5,5,24,4,Chicago Blackhawks,2
Winnipeg Jets,17,30,0.0,0.0,3.0,39.6,14,4,10,18,2,Arizona Coyotes,1
Edmonton Oilers,8,17,50.0,1.0,2.0,39.6,13,9,15,27,4,Arizona Coyotes,3
Colorado Avalanche,6,18,0.0,0.0,1.0,48.1,20,8,3,24,3,Arizona Coyotes,1
Arizona Coyotes,6,32,33.3,1.0,3.0,47.6,19,4,8,11,3,Colorado Avalanche,3
Arizona Coyotes,8,29,50.0,2.0,4.0,47.5,10,3,4,22,4,Edmonton Oilers,5
Arizona Coyotes,4,31,20.0,1.0,5.0,63.5,14,4,4,17,2,Dallas Stars,5
Arizona Coyotes,4,31,42.9,3.0,7.0,59.1,19,10,10,25,2,San Jose Sharks,7
Seattle Kraken,49,21,0.0,0.0,3.0,44.8,12,10,3,15,8,Arizona Coyotes,1
Seattle Kraken,40,29,0.0,0.0,2.0,56.1,8,8,2,9,4,Arizona Coyotes,2
Arizona Coyotes,15,29,25.0,1.0,4.0,48.4,14,2,9,15,5,Anaheim Ducks,4
Arizona Coyotes,15,37,50.0,2.0,4.0,45.8,9,6,10,18,1,Seattle Kraken,4
Arizona Coyotes,13,24,50.0,2.0,4.0,53.2,11,2,7,24,4,Vancouver Canucks,5
