GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
70,2023-03-21,,Ottawa Senators,2,1,W,,54,11,5,W 4,17850,2:29,
71,2023-03-23,,Montreal Canadiens,4,2,W,,55,11,5,W 5,17850,2:35,
72,2023-03-25,,Tampa Bay Lightning,2,1,W,,56,11,5,W 6,17850,2:29,
73,2023-03-26,@,Carolina Hurricanes,4,3,W,SO,57,11,5,W 7,18958,2:48,
74,2023-03-28,,Nashville Predators,1,2,L,,57,12,5,L 1,17850,2:34,
75,2023-03-30,,Columbus Blue Jackets,2,1,W,OT,58,12,5,W 1,17850,2:31,
76,2023-04-01,@,Pittsburgh Penguins,4,3,W,,59,12,5,W 2,18322,2:36,
77,2023-04-02,@,St. Louis Blues,4,3,W,SO,60,12,5,W 3,18096,2:48,
78,2023-04-06,,Toronto Maple Leafs,2,1,W,OT,61,12,5,W 4,17850,2:29,
79,2023-04-08,,New Jersey Devils,2,1,W,,62,12,5,W 5,17850,2:35,
80,2023-04-09,@,Philadelphia Flyers,5,3,W,,63,12,5,W 6,18776,2:35,
81,2023-04-11,,Washington Capitals,5,2,W,,64,12,5,W 7,17850,2:36,
82,2023-04-13,@,Montreal Canadiens,5,4,W,,65,12,5,W 8,21105,2:31,
