GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
70,2023-03-19,,Columbus Blue Jackets,7,2,W,,43,21,6,W 1,18004,2:29,
71,2023-03-21,@,Vancouver Canucks,4,3,W,,44,21,6,W 2,18757,2:27,
72,2023-03-23,@,Calgary Flames,3,2,W,,45,21,6,W 3,18157,2:40,
73,2023-03-25,@,Edmonton Oilers,4,3,W,OT,46,21,6,W 4,18347,2:37,
74,2023-03-28,,Edmonton Oilers,4,7,L,,46,22,6,L 1,18391,2:30,
75,2023-03-30,@,San Jose Sharks,3,4,L,OT,46,22,7,L 2,15232,2:21,
76,2023-04-01,,Minnesota Wild,4,1,W,,47,22,7,W 1,18398,2:23,
77,2023-04-03,@,Minnesota Wild,4,3,W,SO,48,22,7,W 2,19176,2:42,
78,2023-04-04,@,Nashville Predators,2,3,L,OT,48,22,8,L 1,17420,2:31,
79,2023-04-06,,Los Angeles Kings,5,2,W,,49,22,8,W 1,18404,2:38,
80,2023-04-08,@,Dallas Stars,1,2,L,SO,49,22,9,L 1,18532,2:38,
81,2023-04-11,,Seattle Kraken,4,1,W,,50,22,9,W 1,18377,2:25,
82,2023-04-13,@,Seattle Kraken,3,1,W,,51,22,9,W 2,17151,2:32,
